actual_cost,date,items,quantity,row_id,Location_row_name
9454.55,2020/4/1,200,7626,00L,NHS NORTHUMBERLAND
3381.21,2020/4/1,90,2309,00N,NHS SOUTH TYNESIDE
2537.52,2020/4/1,63,2174,00P,NHS SUNDERLAND
1562.15,2020/4/1,33,917,00Q,NHS BLACKBURN WITH DARWEN
3335.69,2020/4/1,68,1894,00R,NHS BLACKPOOL
1738.66,2020/4/1,40,1266,00T,NHS BOLTON
2459.84,2020/4/1,47,1700,00V,NHS BURY
1136.56,2020/4/1,18,620,00X,NHS CHORLEY AND SOUTH RIBBLE
2790.11,2020/4/1,47,2165,00Y,NHS OLDHAM
2737.85,2020/4/1,43,1631,01A,NHS EAST LANCASHIRE
1159.69,2020/4/1,20,700,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
2455.14,2020/4/1,47,1944,01E,NHS GREATER PRESTON
228.28,2020/4/1,5,140,01F,NHS HALTON
9982.44,2020/4/1,193,6477,01G,NHS SALFORD
1967.77,2020/4/1,32,1120,01H,NHS NORTH CUMBRIA
122.46,2020/4/1,2,56,01J,NHS KNOWSLEY
2578.45,2020/4/1,46,1514,01K,NHS MORECAMBE BAY
213.4,2020/4/1,7,112,01T,NHS SOUTH SEFTON
359.13,2020/4/1,6,196,01V,NHS SOUTHPORT AND FORMBY
6375.82,2020/4/1,125,4551,01W,NHS STOCKPORT
1880.05,2020/4/1,16,1062,01X,NHS ST HELENS
2462.26,2020/4/1,56,2213,01Y,NHS TAMESIDE AND GLOSSOP
2114.97,2020/4/1,36,1183,02A,NHS TRAFFORD
396.89,2020/4/1,6,224,02E,NHS WARRINGTON
1726.47,2020/4/1,23,1208,02G,NHS WEST LANCASHIRE
7090.87,2020/4/1,131,4646,02H,NHS WIGAN BOROUGH
1464.04,2020/4/1,21,833,02M,NHS FYLDE AND WYRE
2428.75,2020/4/1,54,1660,02P,NHS BARNSLEY
881.11,2020/4/1,15,476,02Q,NHS BASSETLAW
598.12,2020/4/1,9,580,02T,NHS CALDERDALE
1509.3,2020/4/1,34,1140,02X,NHS DONCASTER
1305.35,2020/4/1,18,2032,02Y,NHS EAST RIDING OF YORKSHIRE
909.76,2020/4/1,17,1045,03F,NHS HULL
1367.68,2020/4/1,24,791,03H,NHS NORTH EAST LINCOLNSHIRE
258.9,2020/4/1,5,140,03K,NHS NORTH LINCOLNSHIRE
539.46,2020/4/1,11,322,03L,NHS ROTHERHAM
5888.1,2020/4/1,90,3847,03N,NHS SHEFFIELD
714.37,2020/4/1,14,420,03Q,NHS VALE OF YORK
2621.55,2020/4/1,46,1491,03R,NHS WAKEFIELD
3369.39,2020/4/1,70,3313,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
4522.51,2020/4/1,74,4334,04C,NHS LEICESTER CITY
7908.24,2020/4/1,150,6358,04V,NHS WEST LEICESTERSHIRE
319.45,2020/4/1,5,168,04Y,NHS CANNOCK CHASE
622.48,2020/4/1,8,364,05D,NHS EAST STAFFORDSHIRE
1045.51,2020/4/1,21,595,05G,NHS NORTH STAFFORDSHIRE
857.88,2020/4/1,13,504,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
443.44,2020/4/1,10,252,05V,NHS STAFFORD AND SURROUNDS
1607.39,2020/4/1,31,1168,05W,NHS STOKE ON TRENT
6932.75,2020/4/1,133,4761,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
6914.31,2020/4/1,119,4780,06K,NHS EAST AND NORTH HERTFORDSHIRE
2480.6,2020/4/1,43,1442,06L,NHS IPSWICH AND EAST SUFFOLK
3615.67,2020/4/1,53,2487,06N,NHS HERTS VALLEYS
2285.3,2020/4/1,49,1375,06Q,NHS MID ESSEX
3338.84,2020/4/1,67,2032,06T,NHS NORTH EAST ESSEX
2741.15,2020/4/1,58,1610,07G,NHS THURROCK
4239.14,2020/4/1,70,2866,07H,NHS WEST ESSEX
1966.57,2020/4/1,40,1099,07K,NHS WEST SUFFOLK
4291.26,2020/4/1,99,3025,09D,NHS BRIGHTON AND HOVE
4640.85,2020/4/1,73,3562,10Q,NHS OXFORDSHIRE
593.93,2020/4/1,21,309,10R,NHS PORTSMOUTH
15707.1,2020/4/1,285,10590,11J,NHS DORSET
4878.36,2020/4/1,118,3002,11M,NHS GLOUCESTERSHIRE
3790.71,2020/4/1,70,2211,11N,NHS CORNWALL AND THE ISLES OF SCILLY
3708.79,2020/4/1,56,2270,11X,NHS SOMERSET
11713.37,2020/4/1,247,7180,12F,NHS WIRRAL
3498.13,2020/4/1,97,1960,13T,NHS NEWCASTLE GATESHEAD
4476.31,2020/4/1,84,2513,14L,NHS MANCHESTER
4305.96,2020/4/1,72,2736,14Y,NHS BUCKINGHAMSHIRE
6283.72,2020/4/1,96,3658,15A,NHS BERKSHIRE WEST
6953.42,2020/4/1,116,4680,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
8126.79,2020/4/1,164,5852,15E,NHS BIRMINGHAM AND SOLIHULL
4303.12,2020/4/1,67,3096,15F,NHS LEEDS
13150.33,2020/4/1,249,9659,15M,NHS DERBY AND DERBYSHIRE
10310.32,2020/4/1,203,5971,15N,NHS DEVON
5193.59,2020/4/1,101,3601,16C,NHS TEES VALLEY
11092.95,2020/4/1,203,7999,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
14701.7,2020/4/1,302,11104,26A,NHS NORFOLK AND WAVENEY
10761.6,2020/4/1,202,7090,27D,NHS CHESHIRE
1971.98,2020/4/1,42,1120,36J,NHS BRADFORD DISTRICT AND CRAVEN
13884.96,2020/4/1,259,11204,36L,NHS SOUTH WEST LONDON
3528.51,2020/4/1,72,2107,42D,NHS NORTH YORKSHIRE
8518.62,2020/4/1,152,6302,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
9828.55,2020/4/1,187,5642,70F,NHS WEST SUSSEX
6988.46,2020/4/1,125,4457,71E,NHS LINCOLNSHIRE
9610.19,2020/4/1,170,5567,72Q,NHS SOUTH EAST LONDON
12390.59,2020/4/1,240,8346,78H,NHS NORTHAMPTONSHIRE
7898.39,2020/4/1,157,6200,84H,NHS COUNTY DURHAM
25855.05,2020/4/1,447,17156,91Q,NHS KENT AND MEDWAY
14172.43,2020/4/1,237,12365,92A,NHS SURREY HEARTLANDS
8057.32,2020/4/1,109,4747,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
12352.47,2020/4/1,211,9747,93C,NHS NORTH CENTRAL LONDON
5534.92,2020/4/1,105,4057,97R,NHS EAST SUSSEX
3655.47,2020/4/1,70,1946,99A,NHS LIVERPOOL
6890.09,2020/4/1,129,7377,99C,NHS NORTH TYNESIDE
4137.71,2020/4/1,82,2626,99E,NHS BASILDON AND BRENTWOOD
2416.01,2020/4/1,36,1930,99F,NHS CASTLE POINT AND ROCHFORD
2114.06,2020/4/1,39,1972,99G,NHS SOUTHEND
12666.16,2020/4/1,244,8064,A3A8R,NHS NORTH EAST LONDON
6492.42,2020/4/1,151,4056,B2M3M,NHS COVENTRY AND WARWICKSHIRE
16899.88,2020/4/1,309,11614,D2P2L,NHS BLACK COUNTRY
9320.8,2020/4/1,146,6593,D4U1Y,NHS FRIMLEY
24970.34,2020/4/1,448,17368,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
8199.47,2020/4/1,139,6796,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
3720.7,2020/4/1,56,2861,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
13598.98,2020/4/1,205,8579,W2U3Z,NHS NORTH WEST LONDON
2456.03,2020/4/1,58,1858,X2C4Y,NHS KIRKLEES
10292.97,2020/5/1,227,8685,00L,NHS NORTHUMBERLAND
3143.44,2020/5/1,80,2392,00N,NHS SOUTH TYNESIDE
2673.45,2020/5/1,58,2233,00P,NHS SUNDERLAND
