actual_cost,date,items,quantity,row_id,Location_row_name
4345.22,2020/4/1,73,1946,00L,NHS NORTHUMBERLAND
414.44,2020/4/1,6,196,00N,NHS SOUTH TYNESIDE
292.62,2020/4/1,5,140,00P,NHS SUNDERLAND
507.39,2020/4/1,8,224,00Q,NHS BLACKBURN WITH DARWEN
756.6,2020/4/1,10,378,00R,NHS BLACKPOOL
266.84,2020/4/1,4,112,00T,NHS BOLTON
368.9,2020/4/1,6,168,00V,NHS BURY
177.29,2020/4/1,3,84,00X,NHS CHORLEY AND SOUTH RIBBLE
2089.12,2020/4/1,14,898,00Y,NHS OLDHAM
2788.38,2020/4/1,47,1353,01A,NHS EAST LANCASHIRE
186.14,2020/4/1,3,84,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
916.67,2020/4/1,14,448,01E,NHS GREATER PRESTON
937.57,2020/4/1,15,434,01G,NHS SALFORD
248.09,2020/4/1,4,112,01H,NHS NORTH CUMBRIA
70.81,2020/4/1,1,28,01J,NHS KNOWSLEY
1124.13,2020/4/1,18,504,01K,NHS MORECAMBE BAY
54.41,2020/4/1,1,28,01T,NHS SOUTH SEFTON
917.19,2020/4/1,18,399,01W,NHS STOCKPORT
1070.72,2020/4/1,9,552,01X,NHS ST HELENS
409.75,2020/4/1,5,196,01Y,NHS TAMESIDE AND GLOSSOP
1191.46,2020/4/1,22,541,02A,NHS TRAFFORD
352.08,2020/4/1,6,147,02E,NHS WARRINGTON
212.96,2020/4/1,4,112,02G,NHS WEST LANCASHIRE
1475.83,2020/4/1,23,700,02H,NHS WIGAN BOROUGH
627.91,2020/4/1,11,294,02M,NHS FYLDE AND WYRE
1266.2,2020/4/1,20,596,02P,NHS BARNSLEY
131.73,2020/4/1,2,56,02Q,NHS BASSETLAW
436.59,2020/4/1,7,224,02T,NHS CALDERDALE
415.5,2020/4/1,7,196,02X,NHS DONCASTER
3090.5,2020/4/1,46,1498,02Y,NHS EAST RIDING OF YORKSHIRE
210.62,2020/4/1,4,112,03F,NHS HULL
106.48,2020/4/1,2,56,03H,NHS NORTH EAST LINCOLNSHIRE
54.41,2020/4/1,1,28,03K,NHS NORTH LINCOLNSHIRE
58.4,2020/4/1,1,30,03L,NHS ROTHERHAM
2264.13,2020/4/1,36,1064,03N,NHS SHEFFIELD
290.28,2020/4/1,5,140,03Q,NHS VALE OF YORK
2125.66,2020/4/1,36,1036,03R,NHS WAKEFIELD
3143.56,2020/4/1,46,1490,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
2465.09,2020/4/1,36,1158,04C,NHS LEICESTER CITY
3833.88,2020/4/1,56,1897,04V,NHS WEST LEICESTERSHIRE
196.03,2020/4/1,3,84,05G,NHS NORTH STAFFORDSHIRE
235.87,2020/4/1,4,112,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
112.99,2020/4/1,2,56,05V,NHS STAFFORD AND SURROUNDS
54.41,2020/4/1,1,28,05W,NHS STOKE ON TRENT
2670.83,2020/4/1,43,1290,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
1168.12,2020/4/1,19,532,06K,NHS EAST AND NORTH HERTFORDSHIRE
1083.72,2020/4/1,15,560,06L,NHS IPSWICH AND EAST SUFFOLK
203.37,2020/4/1,5,100,06N,NHS HERTS VALLEYS
